ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
radoteur,Radot9R,radoteur,NOM,0.22,0.21,1,8,7,6,3,"ADJ,NOM",1102.0256,180.54015,33,0.248071593,0.8145542,33,0.7727273,44,7,6,2.2,822,0.07000001,0.23,0.3,104953,0.22,0.27,0.21,0.07,1,1,0
rafale,Rafal,rafale,NOM,1.59,0.79,1,6,4,5,2,NOM,1032.3129,141.94492,44,-0.1729396717,0.7403855,44,0.9782609,46,5,5,1.9,655,8.84999999,0.79,9.64,104975,1.59,19.46,0.79,8.85,15,7,8
raffermi,RafERmi,raffermir,VER,0.23,0.01,0,8,0,0,3,VER,1121.0204,86.13181,49,0.4511917816,0.752811,49,1.0,49,7,7,2.7,720,0.14,0.01,0.15,104979,0.23,1.82,0.01,0.14,6,0,6
raffermir,RafERmiR,raffermir,VER,0.23,0.18,1,9,5,4,3,VER,1188.3453,182.59341,46,0.8457872939,0.852385,46,0.9787234,47,8,8,3.1,970,0.67999999,0.18,0.86,104981,0.23,1.82,0.18,0.68,7,1,6
raffinage,RafinaZ,raffinage,NOM,0.01,0.01,1,9,7,6,3,NOM,1236.9897,243.94735,33,1.0573088629,1.1022309,33,0.8478261,46,7,6,2.2,896,0.07000001,0.01,0.08,104987,0.01,0.07,0.01,0.07,1,0,1
raffiné,Rafine,raffiné,ADJ,4.34,1.8,1,7,7,6,3,"VER,ADJ",989.5517,136.35693,47,-0.3437631687,0.6291152,47,1.0,47,6,6,1.8,684,3.37999999,2.36,5.74,104998,4.34,6.15,1.8,2.7,23,16,7
raffiné,Rafine,raffiner,VER,1.06,0.56,0,7,7,6,3,"VER,ADJ",989.5517,136.35693,47,-0.3437631687,0.6291152,47,1.0,47,6,6,1.8,684,3.37999999,2.36,5.74,104997,1.06,2.03,0.56,0.68,23,16,7
raffolait,RafolE,raffoler,VER,3.16,0.19,0,9,0,0,3,VER,1140.0959,181.8146,40,0.5677432606,0.7520427,40,0.82,50,6,6,2.35,619,1.61999999,0.19,1.81,105007,3.16,3.85,0.19,1.62,11,5,6
raffole,RafOl,raffoler,VER,3.16,1.65,0,7,0,0,2,VER,1098.3824,203.00671,41,0.1984046375,0.9011301,41,1.0,42,5,5,1.9,736,0.74000001,1.65,2.39,105009,3.16,3.85,1.65,0.74,15,5,10
raffut,Rafy,raffut,NOM,1.56,1.56,1,6,5,4,2,NOM,1102.5933,169.69414,45,0.3883564579,1.1551504,45,0.9375,48,4,4,1.7,548,1.49000002,1.56,3.05,105017,1.56,1.69,1.56,1.49,13,9,4
rafiot,Rafjo,rafiot,NOM,1.08,0.91,1,6,5,5,2,NOM,1174.1729,146.83391,30,0.5583977692,0.6999895,30,0.6808511,47,5,5,1.75,606,1.21999998,0.91,2.13,105020,1.08,1.42,0.91,1.22,9,9,0
