idx,name,ortho,phono
1576,1576,base,bes
1578,1578,bash,b@S
1579,1579,bashful,b@SfL
1581,1581,basil,b@zL
1584,1584,basin,besN
1585,1585,basis,bes|s
1586,1586,bask,b@sk
1587,1587,basket,b@sk|t
1588,1588,bass,b@s
1590,1590,basso,b@so
1593,1593,bast,b@st
1594,1594,bastard,b@stXd
1595,1595,baste,best
1598,1598,bat,b@t
1599,1599,batch,b@C
1600,1600,bath,b@T
1601,1601,bathe,beD
1602,1602,bathetic,bxTEtIk
1604,1604,bathos,beTas
1605,1605,baths,b@Dz
1607,1607,batman,b@tmxn
1610,1610,batsman,b@tsmxn
1612,1612,batteau,b@to
1613,1613,batten,b@tN
1614,1614,batter,b@tX
1615,1615,battery,b@tXi
1616,1616,batting,b@tIG
1617,1617,battle,b@tL
1618,1618,bauble,bcbL
1620,1620,bawdy,bcdi
1621,1621,bay,be
1624,1624,bayou,bYu
1627,1627,beach,biC
1629,1629,beacon,bik|n
1630,1630,bead,bid
1631,1631,beadle,bidL
1632,1632,beagle,bigL
1633,1633,beak,bik
1634,1634,beaked,bikt
1635,1635,beaker,bikX
1636,1636,beam,bim
1637,1637,bean,bin
1638,1638,beanie,bini
1639,1639,beard,bIrd
1640,1640,bearing,b@rIG
1642,1642,beast,bist
1643,1643,beat,bit
1644,1644,beaten,bitN
1648,1648,beau,bo
1654,1654,beauty,byuti
1655,1655,beaux,boz
1656,1656,beaver,bivX
1659,1659,beck,bEk
1660,1660,beckon,bEk|n
1662,1662,become,bxk^m
1664,1664,bed,bEd
1668,1668,bedew,bidu
1675,1675,beechen,biC|n
1676,1676,beef,bif
1678,1678,been,bIn
1679,1679,beer,bIr
1681,1681,beetle,bitL
1682,1682,beeves,bivz
1683,1683,befall,bxfcl
1685,1685,befog,bxfcg
1687,1687,befoul,bxfWl
1690,1690,beg,bEg
1692,1692,beggar,bEgX
1693,1693,begin,bxgIn
1694,1694,begone,bxgcn
1701,1701,behead,bIhEd
1705,1705,beige,beZ
1706,1706,being,biIG
1708,1708,belch,bElC
1709,1709,beldame,bEldxm
1714,1714,belief,bxlif
1715,1715,believe,bxliv
1717,1717,bell,bEl
1724,1724,bellow,bElo
1726,1726,belly,bEli
1727,1727,belong,bxlcG
1728,1728,belt,bElt
1732,1732,bench,bEnC
1733,1733,bend,bEnd
1745,1745,benison,bEn|s|n
1746,1746,bent,bEnt
1753,1753,Berber,bRbX
1755,1755,beret,bXe
1756,1756,berg,bRg
1759,1759,berry,bEri
1761,1761,berth,bRT
1762,1762,beryl,bErL
1764,1764,beseech,bIsiC
1766,1766,besiege,bIsiJ
1768,1768,besom,bizM
1770,1770,best,bEst
1774,1774,bet,bEt
1776,1776,bethel,bETL
1778,1778,better,bEtX
1781,1781,bevel,bEvL
1783,1783,bevy,bEvi
1785,1785,beyond,biand
1786,1786,bezel,bEzL
1789,1789,bias,bYxs
1790,1790,bib,bIb
1792,1792,bible,bYbL
1800,1800,bicker,bIkX
1802,1802,bicycle,bYsIkL
1803,1803,bid,bId
1804,1804,bidden,bIdN
1805,1805,bide,bYd
1810,1810,big,bIg
1813,1813,bight,bYt
1814,1814,bigot,bIg|t
1816,1816,bike,bYk
1819,1819,bile,bYl
1820,1820,bilge,bIlJ
1822,1822,bilious,bIlyxs
1823,1823,bilk,bIlk
1824,1824,bill,bIl
1825,1825,billet,bIl|t
1827,1827,billhead,bIlhEd
1830,1830,billion,bIlyxn
1831,1831,billow,bIlo
1832,1832,billy,bIli
1836,1836,bind,bYnd
1837,1837,binge,bInJ
1838,1838,binnacle,bInIkL
1854,1854,birch,bRC
1855,1855,bird,bRd
1856,1856,birdie,bRdi
1858,1858,biscuit,bIsk|t
1863,1863,bison,bYsN
1864,1864,bisque,bIsk
1866,1866,bit,bIt
1867,1867,bitch,bIC
1868,1868,biting,bYtIG
1869,1869,bitten,bItN
1870,1870,bitter,bItX
1871,1871,bittern,bItXn
1872,1872,bitters,bItXz
1877,1877,blab,bl@b
1878,1878,black,bl@k
1881,1881,blacken,bl@k|n
1882,1882,blackguard,bl@gXd
