lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
altar,562,altar,cltX,5,1,4,4,1,0.6,-1,1,-1
alteration,563,alteration,cltXeS|n,2,0,2,0,2,1,-1,-1,0
altercation,564,altercation,cltXkeS|n,2,1,1,1,1,1,-1,-1,-1
alternation,566,alternation,cltXneS|n,2,1,1,1,1,1,-1,-1,-1
altho,568,altho,clDo,1,1,0,0,1,-1,-1,-1,-1
altitude,570,altitude,@lt|tud,2,1,1,2,0,1,-1,1,-1
alto,571,alto,@lto,1,0,1,0,1,-1,-1,-1,-1
alum,575,alum,@lxm,2,0,2,1,1,0,-1,-1,-1
aluminium,577,aluminium,xlumInxm,1,1,0,0,1,-1,-1,-1,-1
aluminum,578,aluminum,xlum|nxm,1,1,0,0,1,-1,-1,-1,-1
am,582,am,@m,19,9,10,12,7,0.315789474,0.5,0.590909091,0.714285714
amah,583,amah,amx,4,1,3,3,1,0.5,-1,1,-1
amain,584,amain,xmen,4,3,1,3,1,0.166666667,0.333333333,0.333333333,-1
amass,591,amass,xm@s,3,2,1,1,2,0.333333333,1,-1,1
amaze,596,amaze,xmez,2,1,1,1,1,0,-1,-1,-1
amber,600,amber,@mbX,5,3,2,4,1,0.2,0.333333333,0.333333333,-1
ambition,606,ambition,@mbIS|n,1,1,0,0,1,-1,-1,-1,-1
ambitious,607,ambitious,@mbIS|s,1,1,0,0,1,-1,-1,-1,-1
amble,609,amble,@mbL,6,3,3,4,2,0.2,0,0.5,0
amen,616,amen,emEn,1,0,1,1,0,-1,-1,-1,-1
amend,618,amend,xmEnd,8,5,3,7,1,0.25,0.6,0.333333333,-1
amends,620,amends,xmEndz,1,0,1,0,1,-1,-1,-1,-1
amerce,622,amerce,xmRs,4,4,0,2,2,0.166666667,0.166666667,0,1
amid,632,amid,xmId,2,1,1,1,1,0,-1,-1,-1
amiss,633,amiss,xmIs,5,4,1,2,3,0.1,0.166666667,0,0.333333333
amity,634,amity,@mxti,1,1,0,1,0,-1,-1,-1,-1
ammeter,635,ammeter,@mitX,1,0,1,1,0,-1,-1,-1,-1
ammo,636,ammo,@mo,4,2,2,3,1,0.166666667,1,0.333333333,-1
ammonite,638,ammonite,@mxnYt,1,1,0,1,0,-1,-1,-1,-1
amok,643,amok,xm^k,2,1,1,1,1,0,-1,-1,-1
among,644,among,xm^G,1,1,0,0,1,-1,-1,-1,-1
amoral,646,amoral,emcrL,2,1,1,2,0,1,-1,1,-1
amorous,647,amorous,@mXxs,1,1,0,1,0,-1,-1,-1,-1
amount,651,amount,xmWnt,2,1,1,2,0,0,-1,0,-1
amour,652,amour,xmUr,3,3,0,3,0,1,1,1,-1
ample,658,ample,@mpL,3,1,2,2,1,0,-1,0,-1
amplifier,660,amplifier,@mplxfYX,1,0,1,0,1,-1,-1,-1,-1
amplify,661,amplify,@mplxfY,1,0,1,0,1,-1,-1,-1,-1
amputation,665,amputation,@mpyuteS|n,1,1,0,1,0,-1,-1,-1,-1
amuse,668,amuse,xmyuz,3,2,1,3,0,0.333333333,1,0.333333333,-1
an,669,an,@n,22,11,11,14,8,0.277056277,0.454545455,0.505494505,0.607142857
anal,676,anal,enL,2,1,1,1,1,0,-1,-1,-1
analyst,682,analyst,@nLxst,1,0,1,1,0,-1,-1,-1,-1
anchor,698,anchor,@GkX,7,2,5,4,3,0.333333333,0,1,0.333333333
and,704,and,@nd,12,2,10,8,4,0.348484848,0,0.75,0.333333333
anent,712,anent,xnEnt,3,3,0,3,0,0.333333333,0.333333333,0.333333333,-1
anew,715,anew,xnu,4,2,2,3,1,0,0,0,-1
angel,716,angel,enJL,1,0,1,0,1,-1,-1,-1,-1
anger,718,anger,@GgX,3,2,1,1,2,0,0,-1,0
angle,720,angle,@GgL,10,3,7,8,2,0.466666667,0,0.75,0
anguish,729,anguish,@GgwIS,1,0,1,1,0,-1,-1,-1,-1
aniline,733,aniline,@nLxn,1,0,1,1,0,-1,-1,-1,-1
anise,744,anise,@n|s,3,3,0,3,0,0.333333333,0.333333333,0.333333333,-1
ankh,745,ankh,@Gk,14,2,12,12,2,0.505494505,0,0.681818182,1
ankle,746,ankle,@GkL,4,2,2,1,3,0.166666667,0,-1,0.333333333
anneal,749,anneal,xnil,4,2,2,3,1,0,0,0,-1
annotate,754,annotate,@n|tet,1,1,0,1,0,-1,-1,-1,-1
annotation,755,annotation,@n|teS|n,2,1,1,2,0,0,-1,0,-1
annoy,758,annoy,xnO,2,2,0,1,1,0,0,-1,-1
annual,759,annual,@nyuL,1,0,1,1,0,-1,-1,-1,-1
annul,762,annul,xn^l,2,1,1,1,1,0,-1,-1,-1
annunciate,764,annunciate,xn^nsiet,1,1,0,1,0,-1,-1,-1,-1
anode,766,anode,@nod,2,0,2,1,1,0,-1,-1,-1
anoint,769,anoint,xnOnt,2,2,0,2,0,0,0,0,-1
answer,778,answer,@nsX,3,1,2,2,1,0.333333333,-1,1,-1
ant,780,ant,@nt,12,4,8,8,4,0.227272727,0.5,0.428571429,0.333333333
ante,785,ante,@nti,5,1,4,2,3,0.2,-1,1,0.333333333
antelope,790,antelope,@ntxlop,1,0,1,1,0,-1,-1,-1,-1
anterior,793,anterior,@ntIriX,1,1,0,1,0,-1,-1,-1,-1
anther,796,anther,@nTX,2,1,1,1,1,0,-1,-1,-1
anti,805,anti,@ntY,3,2,1,1,2,0.333333333,0,-1,1
antic,808,antic,@ntIk,2,1,1,1,1,0,-1,-1,-1
antique,826,antique,@ntik,2,1,1,0,2,0,-1,-1,0
antrum,835,antrum,@ntrxm,1,0,1,1,0,-1,-1,-1,-1
anus,836,anus,en|s,3,2,1,3,0,0.333333333,1,0.333333333,-1
any,840,any,Eni,9,4,5,5,4,0.138888889,0.333333333,0.2,0.5
apace,845,apace,xpes,4,3,1,3,1,0.166666667,0,0.333333333,-1
apart,846,apart,xpart,3,1,2,3,0,0,-1,0,-1
apartheid,847,apartheid,xpartet,1,1,0,1,0,-1,-1,-1,-1
apathetic,849,apathetic,@pxTEtIk,1,0,1,1,0,-1,-1,-1,-1
apathy,850,apathy,@pxTi,2,2,0,0,2,1,1,-1,1
ape,851,ape,ep,17,10,7,9,8,0.367647059,0.644444444,0.611111111,1
