Item,IsWord,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
triyk,FALSE,1,4,376,NA,37,NA,0,0,0,0,5,NA
triykehps,FALSE,2,7,496,NA,0,NA,0,0,0,0,5,NA
triypaxld,FALSE,2,7,523,NA,1,NA,0,0,0,0,5,NA
triytaxk,FALSE,2,6,424,NA,2,NA,0,0,0,0,6,NA
trod,TRUE,1,4,449,5,19,8,23,196,7,182743,5,1
troll,TRUE,1,4,441,6,29,11,138,714,50,2080526,5,1
trolley,TRUE,2,5,678,8,10,4,72,566,60,3173186,6,1
trolls,TRUE,1,5,629,6,12,4,70,324,20,901349,5,2
trombonist,TRUE,3,10,725,8,0,0,0,43,7,105580,8,2
troop,TRUE,1,4,373,6,44,9,296,2428,651,2613768,5,1
trooper,TRUE,2,5,438,8,16,3,226,697,261,1410909,6,2
troopers,TRUE,2,6,469,9,4,3,86,569,182,1101939,6,3
troops,TRUE,1,5,399,7,18,4,983,21704,9811,13879349,5,1
troopship,TRUE,2,7,386,10,1,1,1,17,0,17448,8,2
troopships,TRUE,2,8,596,10,1,1,0,5,0,5399,8,3
trophies,TRUE,2,6,643,6,1,1,117,664,83,1577448,6,2
trophy,TRUE,2,5,366,6,2,2,385,2215,173,4731863,6,1
tropic,TRUE,2,6,464,7,4,3,36,185,29,624139,7,2
tropical,TRUE,3,8,561,8,1,2,163,4251,673,15946775,7,3
tropics,TRUE,2,7,529,7,3,2,40,562,44,1009932,7,3
trot,TRUE,1,4,479,5,26,15,92,545,37,723756,5,1
troubadour,TRUE,3,8,550,6,0,0,38,74,8,230442,5,NA
trouble,TRUE,2,6,365,8,17,4,11401,22552,6621,24522535,7,1
troublemakers,TRUE,4,11,728,13,1,1,42,185,33,134856,11,3
troubles,TRUE,2,7,579,9,4,2,593,2863,724,3008382,7,2
troublesome,TRUE,3,9,569,9,0,0,79,936,128,971276,7,1
troubling,TRUE,2,7,477,7,1,0,119,2172,642,1037529,5,2
trough,TRUE,1,4,465,7,15,11,72,557,57,1395096,5,1
troupe,TRUE,1,4,355,7,44,5,90,626,44,778742,5,1
trouser,TRUE,2,5,583,8,6,3,20,192,22,741623,6,NA
trousers,TRUE,2,6,620,8,2,1,263,1510,45,3898328,6,1
trout,TRUE,1,4,366,6,28,15,205,3079,67,5371003,5,1
trove,TRUE,1,4,470,5,11,8,17,411,63,702353,5,NA
trows,FALSE,1,4,528,NA,22,NA,0,0,0,0,5,NA
truancy,TRUE,3,7,760,6,0,0,17,160,15,339715,6,1
truant,TRUE,2,6,329,6,0,1,18,92,14,155597,6,1
truce,TRUE,1,4,357,5,35,8,220,764,233,897431,5,1
truck,TRUE,1,4,372,6,28,13,3716,12906,2120,32136793,5,1
trucked,TRUE,1,5,377,7,13,5,4,209,26,92492,5,2
truckers,TRUE,2,6,434,9,3,3,40,375,79,953388,6,3
trucking,TRUE,2,6,599,6,5,3,53,602,124,3343556,5,2
trucks,TRUE,1,5,481,7,21,9,503,5127,1007,13809070,6,2
trudged,TRUE,1,5,513,7,2,4,1,418,9,97576,5,2
TRUE,TRUE,1,3,360,5,61,14,12921,50607,15278,96282261,4,1
truelove,TRUE,2,6,520,6,0,1,5,11,0,63674,5,NA
truffle,TRUE,2,6,382,8,7,2,23,280,14,537610,7,NA
truly,TRUE,2,5,404,5,12,3,1830,13117,2447,21694133,5,1
