Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
aluminum,578,aluminum,xlum|nxm,1,1,0,1,0,0,1,-1,-1,-1,-1,4,8,507,9,3,2,115,2.064457989,4074,177,14078530,9,1
amber,600,amber,@mbX,5,3,2,0.6,0.4,4,1,0.2,0.333333333,0.333333333,-1,2,4,497,6,18,14,473,2.675778342,2604,238,11066821,5,1
ambition,606,ambition,@mbIS|n,1,1,0,1,0,0,1,-1,-1,-1,-1,3,7,538,9,2,1,273,2.437750563,2067,285,2592749,8,1
ambitious,607,ambitious,@mbIS|s,1,1,0,1,0,0,1,-1,-1,-1,-1,3,7,598,10,1,1,243,2.387389826,3879,428,3292680,8,1
amen,616,amen,emEn,1,0,1,0,1,1,0,-1,-1,-1,-1,2,4,529,5,8,25,1325,3.122543524,801,250,2402870,4,1
amend,618,amend,xmEnd,8,5,3,0.625,0.375,7,1,0.25,0.6,0.333333333,-1,2,5,675,6,10,8,38,1.591064607,597,114,7806844,6,1
amid,632,amid,xmId,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,4,449,5,6,22,45,1.662757832,4764,553,2995677,5,1
amiss,633,amiss,xmIs,5,4,1,0.8,0.2,2,3,0.1,0.166666667,0,0.333333333,2,4,460,5,10,6,38,1.591064607,274,39,273918,4,1
amity,634,amity,@mxti,1,1,0,1,0,1,0,-1,-1,-1,-1,3,5,372,6,5,1,27,1.447158031,165,34,541103,6,1
amok,643,amok,xm^k,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,4,442,4,7,5,26,1.431363764,248,56,463652,4,1
among,644,among,xm^G,1,1,0,1,0,0,1,-1,-1,-1,-1,2,4,452,6,3,6,1729,3.238046103,90909,9247,83432110,5,1
amount,651,amount,xmWnt,2,1,1,0.5,0.5,2,0,0,-1,0,-1,2,5,546,7,4,2,1262,3.101403351,26422,6056,92039679,6,1
ample,658,ample,@mpL,3,1,2,0.333333333,0.666666667,2,1,0,-1,0,-1,2,5,363,5,11,6,93,1.973127854,2127,134,3187842,4,1
amplifier,660,amplifier,@mplxfYX,1,0,1,0,1,0,1,-1,-1,-1,-1,4,8,682,10,4,3,16,1.230448921,238,15,6449709,9,3
amuse,668,amuse,xmyuz,3,2,1,0.666666667,0.333333333,3,0,0.333333333,1,0.333333333,-1,2,5,668,6,6,5,133,2.127104798,340,23,556542,6,1
