from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
898,1246,append,xpEnd,attend,xtEnd,replace,1,5,0.2
898,11877,append,xpEnd,offend,xfEnd,replace,1,5,0.2
898,16098,append,xpEnd,spend,spEnd,replace,0,5,0
898,18167,append,xpEnd,upend,^pEnd,replace,0,5,0
903,1106,appertain,@pXten,ascertain,@sXten,replace,1,6,0.166666667
908,11943,apple,@pL,opal,opL,replace,0,3,0
923,11969,apposite,@pxz|t,opposite,apxz|t,replace,0,6,0
924,11970,apposition,@pxzIS|n,opposition,apxzIS|n,replace,0,8,0
926,18185,appraise,xprez,upraise,^prez,replace,0,5,0
947,1394,apse,@ps,axe,@ks,replace,1,3,0.333333333
948,11974,apt,@pt,opt,apt,replace,0,3,0
975,1045,arboreal,arboriL,armorial,armoriL,replace,2,7,0.285714286
990,1046,archery,arCXi,armory,armXi,replace,2,5,0.4
990,1076,archery,arCXi,artery,artXi,replace,2,5,0.4
1003,1014,archon,arkan,argon,argan,replace,2,5,0.4
1007,12011,ardor,ardX,order,ordX,replace,0,4,0
1009,5406,are,ar,ear,Ir,replace,0,2,0
1009,8062,are,ar,hour,Wr,replace,0,2,0
1009,9179,are,ar,ire,Yr,replace,0,2,0
1009,11774,are,ar,oar,or,replace,0,2,0
1010,1022,area,@rix,aria,arix,replace,0,4,0
1023,1363,arid,@rxd,avid,@vxd,replace,1,4,0.25
1026,2194,aright,xrYt,bright,brYt,replace,0,4,0
1026,6809,aright,xrYt,fright,frYt,replace,0,4,0
1026,17740,aright,xrYt,trite,trYt,replace,0,4,0
1027,1162,arise,xrYz,assize,xsYz,replace,1,4,0.25
1027,13655,arise,xrYz,prise,prYz,replace,0,4,0
1046,1076,armory,armXi,artery,artXi,replace,2,5,0.4
1051,5247,aromatic,@rxm@tIk,dramatic,drxm@tIk,replace,0,8,0
1051,17650,aromatic,@rxm@tIk,traumatic,trxm@tIk,replace,0,8,0
1052,7456,around,xrWnd,ground,grWnd,replace,0,5,0
1053,2250,arouse,xrWz,browse,brWz,replace,0,4,0
1053,5305,arouse,xrWz,drowse,drWz,replace,0,4,0
1055,1239,arraign,xren,attain,xten,replace,1,4,0.25
1055,2135,arraign,xren,brain,bren,replace,0,4,0
1055,4120,arraign,xren,crane,kren,replace,0,4,0
1055,5243,arraign,xren,drain,dren,replace,0,4,0
1055,7340,arraign,xren,grain,gren,replace,0,4,0
1055,17578,arraign,xren,train,tren,replace,0,4,0
1056,7356,arrange,xrenJ,grange,grenJ,replace,0,5,0
1057,5820,arrant,@rxnt,errant,Erxnt,replace,0,5,0
1059,1383,array,xre,aweigh,xwe,replace,1,3,0.333333333
1059,2128,array,xre,brae,bre,replace,0,3,0
1059,5261,array,xre,dray,dre,replace,0,3,0
1059,6778,array,xre,fray,fre,replace,0,3,0
1059,7388,array,xre,gray,gre,replace,0,3,0
1059,13455,array,xre,pray,pre,replace,0,3,0
1059,17657,array,xre,tray,tre,replace,0,3,0
1061,1251,arrest,xrEst,attest,xtEst,replace,1,5,0.2
1061,2168,arrest,xrEst,breast,brEst,replace,0,5,0
1061,4176,arrest,xrEst,crest,krEst,replace,0,5,0
1064,9221,arrogate,@rxget,irrigate,Irxget,replace,0,6,0
1065,4233,arrow,@ro,crow,kro,replace,0,3,0
1065,6822,arrow,@ro,fro,fro,replace,0,3,0
1065,7465,arrow,@ro,grow,gro,replace,0,3,0
1065,13670,arrow,@ro,pro,pro,replace,0,3,0
1065,17308,arrow,@ro,throe,Tro,replace,0,3,0
1065,17776,arrow,@ro,trow,tro,replace,0,3,0
1072,11974,art,art,opt,apt,replace,1,3,0.333333333
1081,11976,article,artIkL,optical,aptIkL,replace,1,6,0.166666667
1096,1221,arum,@rM,atom,@tM,replace,1,3,0.333333333
1098,5420,as,@z,ease,iz,replace,0,2,0
1098,9230,as,@z,is,Iz,replace,0,2,0
1098,11941,as,@z,ooze,uz,replace,0,2,0
1101,1246,ascend,xsEnd,attend,xtEnd,replace,1,5,0.2
1101,11877,ascend,xsEnd,offend,xfEnd,replace,1,5,0.2
1104,1248,ascension,xsEnC|n,attention,xtEnC|n,replace,1,7,0.142857143
1105,5923,ascent,xsEnt,event,xvEnt,replace,1,5,0.2
1113,11849,ashen,@S|n,ocean,oS|n,replace,0,4,0
1140,8217,ass,@s,ice,Ys,replace,0,2,0
1140,15038,ass,@s,s,Es,replace,0,2,0
1140,18230,ass,@s,us,^s,replace,0,2,0
1141,1341,assail,xsel,avail,xvel,replace,1,4,0.25
1144,5858,assay,@se,essay,Ese,replace,0,3,0
