Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
incomparably,incomparably,5,11,781,12,0,1,1,51,3,68150,10,3
incompatible,incompatible,5,12,622,11,0,0,28,896,65,2089664,7,2
incompetence,incompetence,4,11,868,12,2,1,76,721,177,820769,12,2
incompetent,incompetent,4,11,747,12,1,1,194,970,256,1096963,12,2
incomplete,incomplete,3,9,605,11,1,1,109,1826,142,6937035,10,2
incompletely,incompletely,4,11,600,11,0,0,0,85,3,149298,10,3
incomprehensible,incomprehensible,6,16,808,16,0,1,42,693,97,511720,15,2
incomprehension,incomprehension,5,14,998,14,0,0,3,88,4,45266,7,1
incompressible,incompressible,5,13,721,9,0,0,0,27,0,204657,7,3
inconceivable,inconceivable,5,12,798,7,0,0,46,493,106,406310,7,3
inconclusive,inconclusive,4,11,875,13,0,0,42,550,97,434076,6,2
inconsequence,inconsequence,4,12,793,12,0,0,1,13,1,11863,7,2
inconsiderable,inconsiderable,6,13,928,12,0,0,1,48,5,74065,11,3
inconsistencies,inconsistencies,5,14,935,13,0,0,25,649,137,1110277,7,3
inconsistency,inconsistency,5,13,1048,13,0,0,13,462,84,1032085,12,2
inconspicuously,inconspicuously,6,16,962,14,0,0,0,71,0,35303,7,3
incontestable,incontestable,5,13,918,7,0,0,1,30,4,54520,6,3
incontinence,incontinence,4,11,757,11,1,0,11,319,43,1435118,11,2
incontinent,incontinent,4,11,722,11,1,0,18,92,11,122009,11,2
incontrovertible,incontrovertible,6,15,882,7,0,0,20,128,22,93704,6,3
inconvenience,inconvenience,4,12,787,14,2,2,226,617,103,2667872,13,2
inconvenient,inconvenient,4,12,664,13,2,0,83,648,109,686016,13,2
incorporate,incorporate,4,9,625,12,1,3,39,2894,152,7280657,10,2
incorporated,incorporated,5,11,603,13,1,2,75,3285,278,16534796,10,2
incorporating,incorporating,5,11,778,12,1,0,12,1618,36,4445305,11,2
incorporation,incorporation,5,11,973,14,2,1,13,859,26,4707178,12,2
incorrect,incorrect,3,7,542,10,1,0,113,1858,376,8355163,8,2
incorrectly,incorrectly,4,9,660,10,1,0,17,739,77,2280414,8,3
incorruptible,incorruptible,5,12,683,7,0,0,11,67,13,96428,5,3
increase,increase,2,6,557,9,2,5,436,32669,4904,81984008,7,1
increased,increased,2,7,758,9,3,5,208,25312,2098,49547349,7,3
increases,increases,3,8,559,9,1,4,99,10545,1608,21799357,7,2
increasing,increasing,3,8,576,11,1,0,162,15325,1512,28456941,9,3
increasingly,increasingly,4,10,719,11,1,0,91,15271,1425,12442507,9,4
incredible,incredible,4,10,630,10,0,1,1928,6654,3121,11269907,9,2
incredibly,incredibly,4,10,639,10,0,1,668,4310,1761,4987059,9,2
incredulous,incredulous,4,10,790,9,0,0,8,444,30,183450,6,2
incremental,incremental,4,11,664,12,2,0,3,988,101,3093667,12,2
incrementally,incrementally,5,12,731,12,2,0,2,219,27,434563,12,3
incriminate,incriminate,4,10,732,11,0,0,38,72,23,83187,11,1
incrimination,incrimination,5,12,770,12,0,0,0,60,15,140985,10,2
incubated,incubated,4,10,650,9,0,1,12,179,6,965023,9,2
incubation,incubation,4,10,861,9,0,0,21,252,22,1533624,8,2
incubator,incubator,4,9,585,10,0,1,51,292,52,1166449,5,2
incumbent,incumbent,3,9,549,10,2,1,34,2057,755,2541291,10,1
incumbents,incumbents,3,10,596,10,1,2,1,849,298,603647,10,2
