lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
bellow,1724,bellow,bElo,12,10,2,8,4,bellow,2,4,384,7,69,13,23,538,25,492951,5,1
valley,18298,valley,v@li,11,10,1,9,2,valley,2,4,382,7,63,22,1275,16110,1367,61698110,5,1
sneeze,15893,sneeze,sniz,3,2,1,1,2,sneeze,1,4,566,7,46,2,150,352,72,366864,5,1
fountain,6747,fountain,fWntN,2,1,1,1,1,fountain,2,6,597,9,5,3,352,2122,162,6932499,7,1
whom,19005,whom,hum,17,16,1,12,5,whom,1,3,374,5,68,11,1795,23359,2991,28679274,4,1
cock,3367,cock,kak,30,24,6,18,12,cock,1,3,419,5,161,23,580,722,34,37575461,4,1
rout,14955,rout,rWt,21,18,3,19,2,rout,1,3,303,5,60,26,18,432,42,526454,4,1
board,1980,board,bord,16,12,4,11,5,board,1,4,342,6,82,18,3272,35565,5745,212367487,5,1
laddie,9597,laddie,l@di,7,6,1,4,3,laddie,2,4,376,5,41,4,98,31,1,112195,4,
reserve,14654,reserve,rIzRv,2,1,1,1,1,reserve,2,5,531,8,6,9,366,7949,1534,35519791,6,2
squid,16231,squid,skwId,4,2,2,1,3,squid,1,5,449,5,4,2,141,835,76,3831988,5,1
flurry,6594,flurry,flRi,3,1,2,1,2,flurry,2,4,507,6,21,6,24,909,119,610263,5,1
creed,4160,creed,krid,11,9,2,3,8,creed,1,4,429,6,50,13,129,850,68,3399121,5,1
vent,18410,vent,vEnt,16,14,2,12,4,vent,1,4,275,5,41,30,225,1238,126,4130520,5,1
save,15184,save,sev,22,18,4,13,9,save,1,3,544,5,57,38,8278,21762,5218,186096288,4,1
plug,13167,plug,pl^g,8,6,2,3,5,plug,1,4,319,5,16,10,531,3190,568,24430043,5,1
cater,2756,cater,ketX,6,5,1,5,1,cater,2,4,389,6,61,29,64,578,79,2092828,5,1
flock,6555,flock,flak,12,10,2,4,8,flock,1,4,356,6,40,16,237,1895,336,2587038,5,1
lab,9567,lab,l@b,20,18,2,10,10,lab,1,3,488,4,77,47,2020,8495,1247,35532276,4,1
pretty,13612,pretty,prIti,4,3,1,1,3,pretty,2,5,293,7,14,2,20003,41388,17672,51628164,6,1
clot,3318,clot,klat,12,10,2,6,6,clot,1,4,454,5,44,18,92,403,87,531650,5,1
wit,19096,wit,wIt,31,25,6,21,10,wit,1,3,273,4,100,39,302,1766,174,5154711,4,1
flag,6482,flag,fl@g,8,6,2,3,5,flag,1,4,589,5,30,17,892,6243,1599,33053840,5,1
tote,17527,tote,tot,30,23,7,18,12,tote,1,3,359,5,68,34,55,747,49,3762183,4,1
dime,4914,dime,dYm,20,19,1,12,8,dime,1,3,387,5,74,24,615,1594,422,1910001,4,1
sand,15118,sand,s@nd,13,9,4,10,3,sand,1,4,545,5,51,36,1035,9414,820,16332822,5,1
zipper,19314,zipper,zIpX,6,5,1,4,2,zipper,2,4,431,7,29,10,144,805,43,2450000,5,1
swab,16779,swab,swab,10,8,2,3,7,swab,1,4,581,5,21,13,121,315,54,420847,5,1
reel,14428,reel,ril,34,28,6,20,14,reel,1,3,341,5,192,35,166,1468,106,6688022,4,1
wrench,19197,wrench,rEnC,10,5,5,6,4,wrench,1,4,400,7,32,5,202,678,54,2044734,5,1
thin,17261,thin,TIn,16,14,2,13,3,thin,1,3,393,5,83,20,1029,14572,1182,16008458,4,1
faze,6275,faze,fez,23,21,2,14,9,faze,1,3,549,5,133,20,22,123,12,138560,4,1
inhale,8808,inhale,Inhel,2,1,1,1,1,inhale,2,5,605,7,2,2,120,634,72,452592,6,2
birdie,1856,birdie,bRdi,7,6,1,3,4,birdie,2,4,502,7,65,6,253,796,31,775268,5,
chamois,2914,chamois,S@mi,5,4,1,2,3,chamois,2,4,584,6,23,0,11,139,3,356783,4,1
punk,13961,punk,p^Gk,12,9,3,11,1,punk,1,4,314,5,29,21,1121,1286,186,12300718,5,1
gory,7305,gory,gori,10,8,2,4,6,gory,2,4,479,4,100,24,37,240,43,489190,5,1
pause,12569,pause,pcz,9,8,1,6,3,pause,1,3,457,6,78,13,275,4983,501,4606318,4,1
