Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
vilify,MALD1_sR,MALD1,15301,519,words9,3,15301_76,773,76,18556,vilify,vIlxfY,2,1,1,1,1,3,6,618,7,0,1,8,86,30,56266,5,2
vow,MALD1_sR,MALD1,15301,200,words9,1,15301_76,1261,76,18710,vow,vW,14,11,3,10,4,1,2,348,4,75,26,276,886,172,1127734,3,1
wait,MALD1_sR,MALD1,15301,285,words9,1,15301_76,666,76,18762,wait,wet,27,22,5,18,9,1,3,390,5,91,32,42343,30118,11036,39005783,4,1
windy,MALD1_sR,MALD1,15301,310,words9,2,15301_76,766,76,19072,windy,wIndi,3,2,1,1,2,2,5,397,5,24,14,134,1090,157,2163179,5,2
art,MALD1_sR,MALD1,15302,32,words63,1,15302_63,610,63,1072,art,art,13,4,9,8,5,1,3,324,4,67,43,3611,55350,4211,214704717,4,1
at,MALD1_sR,MALD1,15302,607,words63,1,15302_63,578,63,1203,at,@t,31,12,19,23,8,1,2,320,3,85,73,164072,1238967,247370,2272272772,3,1
atone,MALD1_sR,MALD1,15302,352,words63,1,15302_63,787,63,1228,atone,xton,5,4,1,3,2,2,4,492,6,9,7,43,148,12,154979,5,1
burned,MALD1_sR,MALD1,15302,48,words63,1,15302_63,854,63,2350,burned,bRnd,9,7,2,6,3,1,4,437,6,48,8,1448,7095,1174,4993504,5,2
candy,MALD1_sR,MALD1,15302,77,words63,2,15302_63,745,63,2533,candy,k@ndi,10,6,4,3,7,2,5,494,6,43,23,1825,5139,929,13780648,6,1
cellar,MALD1_sR,MALD1,15302,678,words63,2,15302_63,593,63,2823,cellar,sElX,10,6,4,3,7,2,4,422,7,113,6,478,1152,44,3002258,5,1
cinch,MALD1_sR,MALD1,15302,502,words63,1,15302_63,1047,63,3169,cinch,sInC,8,6,2,5,3,1,4,529,6,26,13,182,354,31,427775,5,1
fully,MALD1_sR,MALD1,15302,650,words63,1,15302_63,775,63,6861,fully,fUli,9,7,2,8,1,2,4,433,5,26,10,880,16324,2383,48617064,4,1
gem,MALD1_sR,MALD1,15302,81,words63,1,15302_63,697,63,7055,gem,JEm,9,8,1,6,3,1,3,361,4,61,20,126,823,63,6156692,4,1
hurt,MALD1_sR,MALD1,15302,506,words63,2,15302_63,798,63,8142,hurt,hRt,23,21,2,15,8,1,3,443,5,101,23,12564,18791,5882,12940340,4,1
lessen,MALD1_sR,MALD1,15302,486,words63,1,15302_63,878,63,9833,lessen,lEsN,6,5,1,2,4,2,5,580,7,44,11,30,839,86,1087324,6,1
lie,MALD1_sR,MALD1,15302,145,words63,1,15302_63,562,63,9896,lie,lY,36,21,15,21,15,1,2,300,4,156,58,6133,12906,2815,13539916,3,1
muck,MALD1_sR,MALD1,15302,246,words63,6,15302_63,715,63,11222,muck,m^k,25,22,3,14,11,1,3,460,5,106,25,97,591,52,1305552,4,1
myth,MALD1_sR,MALD1,15302,349,words63,1,15302_63,829,63,11346,myth,mIT,15,14,1,8,7,1,3,361,5,53,7,352,4390,471,6054397,4,1
noisy,MALD1_sR,MALD1,15302,134,words63,1,15302_63,621,63,11612,noisy,nOzi,3,2,1,2,1,2,4,463,5,7,3,257,1692,146,3722908,5,1
normal,MALD1_sR,MALD1,15302,301,words63,2,15302_63,674,63,11662,normal,normL,3,1,2,1,2,2,6,418,7,12,3,3589,20598,4401,56446291,7,2
pasty,MALD1_sR,MALD1,15302,601,words63,2,15302_63,675,63,12524,pasty,p@sti,8,5,3,4,4,2,5,481,5,11,13,31,187,13,234413,5,1
point,MALD1_sR,MALD1,15302,457,words63,1,15302_63,599,63,13213,point,pOnt,8,6,2,7,1,1,4,382,6,20,9,12063,106134,36964,175543899,5,1
quite,MALD1_sR,MALD1,15302,623,words63,1,15302_63,536,63,14117,quite,kwYt,10,7,3,3,7,1,4,332,5,20,11,10332,43248,14429,58778450,4,1
risk,MALD1_sR,MALD1,15302,762,words63,1,15302_63,595,63,14857,risk,rIsk,9,5,4,5,4,1,4,386,5,49,26,2501,43624,6650,91491902,5,1
shrub,MALD1_sR,MALD1,15302,701,words63,1,15302_63,629,63,15634,shrub,Sr^b,4,3,1,3,1,1,4,467,6,12,6,14,535,23,1458217,5,1
slang,MALD1_sR,MALD1,15302,385,words63,5,15302_63,971,63,15778,slang,sl@G,11,10,1,2,9,1,4,534,5,20,13,71,572,85,1819478,5,1
smear,MALD1_sR,MALD1,15302,741,words63,2,15302_63,723,63,15853,smear,smIr,8,6,2,7,1,1,4,480,6,32,9,111,881,232,1289528,5,1
smoke,MALD1_sR,MALD1,15302,558,words63,1,15302_63,761,63,15869,smoke,smok,7,6,1,3,4,1,4,622,6,19,11,3337,12251,2198,16571457,5,1
smug,MALD1_sR,MALD1,15302,21,words63,2,15302_63,706,63,15876,smug,sm^g,8,6,2,3,5,1,4,412,5,9,5,122,637,49,463973,5,1
