"","name","ortho","phono"
"2463","2463","call","kcl"
"2466","2466","calling","kclIG"
"2471","2471","callow","k@lo"
"2489","2489","cam","k@m"
"2491","2491","camber","k@mbX"
"2494","2494","came","kem"
"2495","2495","camel","k@mL"
"2502","2502","camp","k@mp"
"2510","2510","can","k@n"
"2522","2522","cancer","k@nsX"
"2529","2529","candied","k@ndid"
"2530","2530","candle","k@ndL"
"2532","2532","candor","k@ndX"
"2533","2533","candy","k@ndi"
"2534","2534","cane","ken"
"2537","2537","canker","k@GkX"
"2538","2538","canned","k@nd"
"2539","2539","canner","k@nX"
"2540","2540","cannery","k@nXi"
"2548","2548","cannot","k@nat"
"2549","2549","canny","k@ni"
"2550","2550","canoe","kxnu"
"2554","2554","cant","k@nt"
"2560","2560","canter","k@ntX"
"2563","2563","cantle","k@ntL"
"2564","2564","canto","k@nto"
"2565","2565","canton","k@ntN"
"2566","2566","cantonal","k@ntNL"
"2571","2571","cap","k@p"
"2579","2579","cape","kep"
"2580","2580","caper","kepX"
"2614","2614","car","kar"
"2638","2638","card","kard"
"2643","2643","care","kEr"
"2644","2644","careen","kXin"
"2653","2653","caries","k@riz"
"2676","2676","carp","karp"
"2677","2677","carpel","karpL"
"2683","2683","carrier","k@riX"
"2684","2684","carrion","k@rixn"
"2685","2685","carry","k@ri"
"2686","2686","cart","kart"
"2692","2692","carton","kartN"
"2696","2696","carve","karv"
"2701","2701","case","kes"
"2704","2704","cashew","k@Su"
"2709","2709","cask","k@sk"
"2714","2714","cassia","k@Sx"
"2715","2715","cassock","k@sxk"
"2716","2716","cast","k@st"
"2725","2725","castor","k@stX"
"2732","2732","cat","k@t"
"2756","2756","cater","ketX"
"2772","2772","cattle","k@tL"
"2773","2773","catty","k@ti"
"2779","2779","caught","kct"
"2781","2781","causal","kczL"
"2783","2783","causally","kczLi"
"2786","2786","cause","kcz"
"2797","2797","cave","kev"
"2804","2804","cavy","kevi"
"2805","2805","caw","kc"
"2806","2806","cay","ki"
"2808","2808","cease","sis"
