"","name","ortho","phono"
"7053","7053","geld","gEld"
"7085","7085","genie","Jini"
"7091","7091","gens","JEnz"
"7092","7092","gent","JEnt"
"7138","7138","geyser","gYzX"
"7144","7144","ghost","gost"
"7148","7148","gibber","JIbX"
"7154","7154","giddy","gIdi"
"7155","7155","gift","gIft"
"7158","7158","giggle","gIgL"
"7160","7160","gild","gIld"
"7162","7162","gilt","gIlt"
"7172","7172","girder","gRdX"
"7173","7173","girdle","gRdL"
"7178","7178","gist","JIst"
"7247","7247","gnarl","narl"
"7257","7257","goalie","goli"
"7261","7261","goatee","goti"
"7265","7265","gobble","gabL"
"7271","7271","goggle","gagL"
"7273","7273","goitre","gOtX"
"7274","7274","gold","gold"
"7279","7279","golf","g^lf"
"7283","7283","goner","gcnX"
"7292","7292","goody","gUdi"
"7297","7297","gopher","gofX"
"7299","7299","gorge","gorJ"
"7304","7304","gorse","gors"
"7305","7305","gory","gori"
"7313","7313","gotten","gatN"
"7317","7317","gourd","gord"
"7318","7318","gourde","gUrd"
"7483","7483","guard","gard"
"7488","7488","guerdon","gRdN"
"7490","7490","guest","gEst"
"7499","7499","guinea","gIni"
"7502","7502","gulch","g^lC"
"7506","7506","gully","g^li"
"7507","7507","gulp","g^lp"
"7513","7513","gunnel","g^nL"
"7515","7515","gunny","g^ni"
"7518","7518","guppy","g^pi"
"7519","7519","gurgle","gRgL"
"7522","7522","gust","g^st"
"7526","7526","gutter","g^tX"
"7528","7528","gutty","g^ti"
"7530","7530","guzzle","g^zL"
"7560","7560","hackle","h@kL"
"7570","7570","haft","h@ft"
"7574","7574","haggle","h@gL"
"7581","7581","hairy","h@ri"
"7585","7585","haler","halX"
"7595","7595","hallo","hxlo"
"7596","7596","hallow","h@lo"
"7600","7600","halo","helo"
"7602","7602","halt","hclt"
"7606","7606","halves","h@vz"
"7611","7611","hammer","h@mX"
"7616","7616","hand","h@nd"
"7632","7632","hangar","h@GX"
"7634","7634","hanged","h@Gd"
"7637","7637","hank","h@Gk"
"7646","7646","happy","h@pi"
"7651","7651","hard","hard"
"7657","7657","harem","h@rM"
"7658","7658","hark","hark"
"7661","7661","harm","harm"
"7668","7668","harp","harp"
"7674","7674","harrow","h@ro"
"7675","7675","harsh","harS"
"7676","7676","hart","hart"
"7682","7682","hasp","h@sp"
"7683","7683","hassle","h@sL"
"7685","7685","haste","hest"
"7686","7686","hasten","hesN"
"7693","7693","hatter","h@tX"
"7696","7696","haunch","hcnC"
"7697","7697","haunt","hcnt"
"7714","7714","hazel","hezL"
"7715","7715","hazy","hezi"
"7723","7723","heady","hEdi"
"7725","7725","health","hElT"
"7734","7734","hearth","harT"
"7740","7740","heather","hEDX"
"7744","7744","heavy","hEvi"
"7751","7751","heckle","hEkL"
"7760","7760","heft","hEft"
"7764","7764","heifer","hEfX"
"7766","7766","heighten","hYtN"
"7770","7770","heist","hYst"
"7771","7771","held","hEld"
"7788","7788","hello","hElo"
"7789","7789","helm","hElm"
"7793","7793","help","hElp"
"7795","7795","helve","hElv"
"7808","7808","hemp","hEmp"
"7811","7811","hence","hEns"
"7814","7814","henna","hEnx"
"7852","7852","hero","hIro"
"7868","7868","hex","hEks"
"7885","7885","hidden","hIdN"
"7904","7904","hilt","hIlt"
"7907","7907","hind","hYnd"
"7914","7914","hinge","hInJ"
"7915","7915","hint","hInt"
"7934","7934","hither","hIDX"
"7936","7936","hives","hYvz"
"7937","7937","hoard","hord"
"7940","7940","hoarse","hors"
"7941","7941","hoary","hori"
"7942","7942","hoax","hoks"
"7944","7944","hobble","habL"
"7945","7945","hobby","habi"
"7949","7949","hockey","haki"
"7955","7955","hoist","hOst"
"7956","7956","hokum","hokM"
"7957","7957","hold","hold"
"7962","7962","holla","halx"
"7963","7963","hollo","halo"
"7964","7964","holly","hali"
"7968","7968","holy","holi"
"7990","7990","honey","h^ni"
"7992","7992","honk","hcGk"
"8012","8012","hooves","hUvz"
"8021","8021","horn","horn"
"8050","8050","host","host"
"8061","8061","hound","hWnd"
"8063","8063","houri","hUri"
"8074","8074","hovel","h^vL"
"8075","8075","hover","h^vX"
"8083","8083","hoyden","hOdN"
"8090","8090","huddle","h^dL"
"8095","8095","hula","hulx"
"8096","8096","hulk","h^lk"
"8124","8124","hump","h^mp"
"8127","8127","hunch","h^nC"
"8132","8132","hunk","h^Gk"
"8134","8134","hunt","h^nt"
"8137","8137","hurdle","hRdL"
"8143","8143","hurtle","hRtL"
"8146","8146","husk","h^sk"
"8149","8149","hussy","h^zi"
"8151","8151","hustle","h^sL"
"8155","8155","huzza","h^za"
"9268","9268","jabber","J@bX"
"9272","9272","jackal","J@kL"
"9280","9280","jailor","JelX"
"9297","9297","jaunt","Jcnt"
"9304","9304","jeans","Jinz"
"9310","9310","jelly","JEli"
"9317","9317","jersey","JRzi"
"9320","9320","jest","JEst"
"9324","9324","jetty","JEti"
"9327","9327","Jewry","JUri"
"9329","9329","jiffy","JIfi"
"9331","9331","jigger","JIgX"
"9332","9332","jiggle","JIgL"
"9334","9334","jilt","JIlt"
"9335","9335","jimmy","JImi"
"9346","9346","jobber","JabX"
