node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
1148,assert,xsRt,3,3,0,2,1,assert,2,4,475,7,7,5,43,1782,165,3288118,5,1
13622,price,prYs,10,7,3,4,6,price,1,4,431,6,39,17,2722,35420,6551,501653687,5,1
15499,sewn,son,27,23,4,22,5,sewn,1,3,445,4,110,9,66,644,38,1121181,4,1
6037,expect,IkspEkt,1,1,0,1,0,expect,2,7,538,7,3,3,5299,23781,6886,34675982,8,1
6999,garble,garbL,4,2,2,2,2,garble,2,6,479,7,9,10,0,23,3,37309,7,1
18208,urban,Rb|n,5,3,2,4,1,urban,2,4,459,6,32,11,237,16732,1214,38091310,5,1
14421,reduce,rIdus,4,3,1,3,1,reduce,2,5,501,7,5,9,219,19183,2508,39832456,6,1
7098,gentle,JEntL,7,5,2,4,3,gentle,2,6,499,7,14,6,844,4558,374,6917025,7,1
9871,liberally,lIbXLi,1,0,1,0,1,liberally,3,7,463,8,5,2,17,370,23,545357,7,2
3239,clap,kl@p,16,11,5,4,12,clap,1,4,223,5,38,17,241,574,79,1497714,5,1
14996,rump,r^mp,14,11,3,11,3,rump,1,4,267,5,27,20,72,348,42,390247,5,1
14149,rack,r@k,29,26,3,18,11,rack,1,3,374,5,137,33,397,3636,148,14539676,4,1
3285,clever,klEvX,2,1,1,2,0,clever,2,5,393,7,13,8,1391,3083,402,4865717,6,1
9975,lion,lY|n,5,2,3,4,1,lion,2,4,354,5,53,24,783,3327,441,11536320,5,1
13206,poet,poxt,4,4,0,0,4,poet,2,4,314,5,15,19,470,4710,465,6468704,5,1
456,album,@lbxm,1,0,1,1,0,album,2,5,432,6,7,5,522,7854,1951,77922007,6,1
12161,over,ovX,10,7,3,6,4,over,2,3,355,5,35,27,67488,351232,100962,459238035,4,1
10119,lord,lord,13,11,2,10,3,lord,1,4,349,5,76,20,7046,11145,1624,47629668,5,1
15830,sloppy,slapi,1,0,1,0,1,sloppy,2,5,521,6,7,2,300,1044,155,1322519,6,1
13368,postal,postL,5,4,1,3,2,postal,2,6,495,7,13,4,96,1661,460,29860400,7,2
5161,dollar,dalX,7,6,1,4,3,dollar,2,4,378,7,64,9,1410,11801,3362,35276362,5,1
8098,hull,h^l,24,23,1,14,10,hull,1,3,349,5,104,25,215,2858,114,6744259,4,1
2619,caramel,k@rxmL,2,2,0,1,1,caramel,3,7,579,8,1,3,63,839,64,1339260,8,1
5281,drink,drIGk,6,5,1,6,0,drink,1,5,441,6,13,9,12617,15356,2200,29256735,6,1
43,able,ebL,8,1,7,8,0,able,2,4,425,5,28,26,8155,67548,22021,109389656,5,1
18209,urbane,Rben,2,1,1,1,1,urbane,2,4,578,7,7,5,7,157,6,195416,4,1
7526,gutter,g^tX,11,8,3,8,3,gutter,2,4,365,7,35,19,267,490,90,1322843,5,1
19265,yet,yEt,15,15,0,12,3,yet,1,3,395,4,51,29,17428,85871,16376,123166044,4,1
2968,chart,Cart,12,9,3,7,5,chart,1,4,379,6,32,13,483,5701,424,35031298,5,1
3326,clout,klWt,7,6,1,3,4,clout,1,4,609,6,25,6,48,1266,275,639706,5,1
2612,capture,k@pCX,2,2,0,1,1,capture,2,5,599,8,14,3,540,6377,914,17823473,6,1
4323,curl,kRl,23,20,3,15,8,curl,1,3,334,5,127,15,120,1319,80,3659627,4,1
4950,dirge,dRJ,10,9,1,7,3,dirge,1,3,519,4,28,4,9,80,9,391309,4,1
