lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
beyond,1785,beyond,biand,2,1,1,2,0
bezel,1786,bezel,bEzL,4,4,0,1,3
bias,1789,bias,bYxs,1,1,0,1,0
bib,1790,bib,bIb,13,13,0,6,7
bible,1792,bible,bYbL,6,6,0,6,0
bicker,1800,bicker,bIkX,7,7,0,6,1
bicycle,1802,bicycle,bYsIkL,1,0,1,1,0
bid,1803,bid,bId,25,21,4,15,10
bidden,1804,bidden,bIdN,7,6,1,5,2
bide,1805,bide,bYd,23,19,4,17,6
big,1810,big,bIg,20,19,1,13,7
bight,1813,bight,bYt,28,25,3,23,5
bigot,1814,bigot,bIg|t,1,1,0,1,0
bike,1816,bike,bYk,19,18,1,14,5
bile,1819,bile,bYl,24,21,3,18,6
bilge,1820,bilge,bIlJ,8,7,1,1,7
bilk,1823,bilk,bIlk,11,9,2,4,7
bill,1824,bill,bIl,35,28,7,22,13
billet,1825,billet,bIl|t,5,4,1,4,1
billow,1831,billow,bIlo,11,9,2,5,6
billy,1832,billy,bIli,13,12,1,6,7
bind,1836,bind,bYnd,12,10,2,11,1
binge,1837,binge,bInJ,5,4,1,3,2
birch,1854,birch,bRC,15,14,1,8,7
bird,1855,bird,bRd,22,18,4,12,10
birdie,1856,birdie,bRdi,7,6,1,3,4
bison,1863,bison,bYsN,2,2,0,2,0
bisque,1864,bisque,bIsk,5,4,1,4,1
bit,1866,bit,bIt,35,30,5,25,10
bitch,1867,bitch,bIC,18,17,1,11,7
biting,1868,biting,bYtIG,2,2,0,2,0
bitten,1869,bitten,bItN,10,8,2,7,3
bitter,1870,bitter,bItX,10,7,3,5,5
bittern,1871,bittern,bItXn,2,1,1,0,2
bitters,1872,bitters,bItXz,3,2,1,1,2
blab,1877,blab,bl@b,5,4,1,2,3
black,1878,black,bl@k,10,7,3,6,4
bladder,1885,bladder,bl@dX,2,1,1,1,1
blade,1886,blade,bled,9,8,1,3,6
blain,1887,blain,blen,9,7,2,5,4
blame,1888,blame,blem,7,6,1,3,4
blanch,1889,blanch,bl@nC,3,3,0,2,1
bland,1891,bland,bl@nd,8,6,2,7,1
blank,1893,blank,bl@Gk,7,4,3,6,1
blare,1895,blare,blEr,7,5,2,4,3
blast,1900,blast,bl@st,3,1,2,3,0
blather,1902,blather,bl@DX,2,1,1,1,1
blaze,1903,blaze,blez,11,6,5,5,6
blazer,1904,blazer,blezX,2,1,1,0,2
blazon,1905,blazon,blezN,3,2,1,1,2
bleach,1906,bleach,bliC,7,5,2,3,4
bleak,1908,bleak,blik,10,7,3,5,5
blear,1909,blear,blIr,7,4,3,4,3
bleary,1910,bleary,blIri,2,0,2,1,1
bleat,1911,bleat,blit,14,12,2,7,7
bled,1912,bled,blEd,12,9,3,6,6
bleed,1913,bleed,blid,9,8,1,3,6
blench,1915,blench,blEnC,4,3,1,3,1
blend,1916,blend,blEnd,7,4,3,5,2
bless,1917,bless,blEs,6,4,2,1,5
blessed,1918,blessed,blEst,5,2,3,4,1
blew,1919,blew,blu,12,8,4,8,4
blight,1920,blight,blYt,12,10,2,7,5
blimp,1921,blimp,blImp,1,0,1,1,0
blind,1922,blind,blYnd,4,3,1,4,0
blink,1924,blink,blIGk,6,4,2,5,1
blinker,1925,blinker,blIGkX,2,1,1,1,1
